include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
variable,,,,,,,,,,,,,interval,interval,interval,,nominal,,nominal,nominal,assymetric,,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,assymetric,assymetric,assymetric,,,,asymmetric,asymmetric,asymmetric,asymmetric,,asymmetric,asymmetric,asymmetric,,assymetric,,,assymetric,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,,,,,,,,,interval,interval,interval,interval,interval
weight,,,,,,,,,,,,,1/3,1/3,1/3,,½,,½,1,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1
id_burial,id_row,id_unified,id_full,undisturbed,lbk,layout_x,layout_y,sex,sex_dockalova,sex_podborsky,age_cat,age_interval,pit_len,pit_wid,pit_dep,pit_orient,pit_orient_cat,head_orient,head_orient_cat,body_side,pigment,polished_sum,pol_adze,pol_axe,grinding,pebble,lithics_sum,lit_local,lit_nonlocal,lit_kl,lit_skj,lit_other,lit_radiolarit,lit_sgs,pottery_sum,pot_bowl,pot_globular,pot_bottle,pot_special,pot_fragment,pot_head,pot_mid,pot_leg,pot_fill,bone_tool,bone_awl,pendant,pendant_L,pendant_U,pendant_I,buckle_O,bracelet_spond,spond_necklace,beads_spond,beads_marble,dividing_bead,bead_cylinder,bead_circle,bead_olive,deer_teeth,antler,shell,dat,d13c,d15n,sr,sr_ppm,body_height
37,24,7637,37/76,T,T,10,5.2,n. a.,NA,M,I1,11–12,145,90,105,125,S,148,SE,L,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-19.6,9.6,NA,NA,NA
38,25,7638,38/76,T,T,10,4.3,F,F,M,A2,30–35,150,80,65,106,E,88,E,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.3,9.5,0.71041,137,144.7
39,26,7639,39/76,T,T,10,3.9,n. a.,NA,C,I1,3–4,160,85,60,152,S,160,S,L,0,0,0,0,0,0,8,2,3,2,3,3,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,11,0,0,0,0,0,Ib,-19.0,10.5,0.71088,66,NA
40,27,7640,40/76,T,T,10.65,7.25,n. a.,NA,C,I2,8–10,135,85,55,125,NW,305,NW,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,8.8,0.71083,60,NA
41,28,7641,41/76,F,T,9.7,7.85,ind.,NA,NA,NA,NA,115,90,35,115,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
42,29,7742,42/77,T,T,7.9,9.85,F,F,F,A1,20–30,145,75,40,146,NW,146,SE,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,un,-19.5,9.8,0.71101,113,169
43,30,7743,43/77,T,T,9.4,9.15,n. a.,NA,C,J,14,130,70,35,94,W,292,NW,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.0,9.7,0.71124,78,NA
44,31,7744,44/77,T,T,8.98,8.35,n. a.,NA,C,I2,10–14,105,65,30,112,NA,125,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,9.5,0.71169,54,NA
45,32,7745,45/77,T,T,8.2,9.1,F,F,F,AM,35–45,120,70,50,126,SE,124,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,0.71048,60,NA
46,33,7746,46/77,T,T,9,9.5,M,M,M,A,20–35,160,85,85,130,SE,145,SE,L,0,1,1,0,0,0,15,1,12,1,4,10,8,0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,un,-19.8,9.1,0.71115,51,164.6
